Model Name,Epoch,Train Loss,Train Accuracy,Test Loss,Test Accuracy,Parameters
ResNet18 (Baseline),91,0.2185,92.50%,0.3846,87.68%,
ResNet18 (Baseline),92,0.2108,92.90%,0.3837,87.44%,
ResNet18 (Baseline),93,0.2106,92.79%,0.3199,89.48%,
ResNet18 (Baseline),94,0.2161,92.62%,0.3991,87.36%,
ResNet18 (Baseline),95,0.1967,93.41%,0.3747,88.26%,
ResNet18 (Baseline),96,0.2030,92.98%,0.3871,87.93%,
ResNet18 (Baseline),97,0.1994,93.15%,0.3388,89.02%,
ResNet18 (Baseline),98,0.1920,93.45%,0.3215,89.63%,
ResNet18 (Baseline),99,0.1968,93.21%,0.3334,88.95%,
ResNet18 (Baseline),100,0.1888,93.54%,0.3740,87.75%,
ResNet18 (Baseline),101,0.1893,93.45%,0.3369,89.29%,
ResNet18 (Baseline),102,0.1812,93.77%,0.3734,87.68%,
ResNet18 (Baseline),103,0.1872,93.50%,0.3823,88.62%,
ResNet18 (Baseline),104,0.1833,93.71%,0.3127,89.74%,
ResNet18 (Baseline),105,0.1746,94.04%,0.3066,89.87%,
ResNet18 (Baseline),106,0.1700,94.08%,0.3198,89.48%,
ResNet18 (Baseline),107,0.1735,94.12%,0.3783,88.28%,
ResNet18 (Baseline),108,0.1701,94.10%,0.3272,89.21%,
ResNet18 (Baseline),109,0.1672,94.45%,0.4692,85.96%,
ResNet18 (Baseline),110,0.1649,94.37%,0.3046,90.18%,
ResNet18 (Baseline),111,0.1591,94.61%,0.3010,90.62%,
ResNet18 (Baseline),112,0.1582,94.57%,0.3466,89.08%,
ResNet18 (Baseline),113,0.1548,94.73%,0.3618,88.91%,
ResNet18 (Baseline),114,0.1528,94.76%,0.3246,89.72%,
ResNet18 (Baseline),115,0.1535,94.79%,0.2831,90.89%,
ResNet18 (Baseline),116,0.1471,95.02%,0.3770,88.41%,
ResNet18 (Baseline),117,0.1422,95.14%,0.3815,87.96%,
ResNet18 (Baseline),118,0.1407,95.30%,0.3419,89.20%,
ResNet18 (Baseline),119,0.1339,95.48%,0.2868,91.34%,
ResNet18 (Baseline),120,0.1397,95.22%,0.2928,90.77%,
ResNet18 (Baseline),121,0.1329,95.46%,0.3636,88.79%,
ResNet18 (Baseline),122,0.1292,95.57%,0.2888,90.82%,
ResNet18 (Baseline),123,0.1240,95.76%,0.2630,91.64%,
ResNet18 (Baseline),124,0.1211,95.95%,0.3606,89.20%,
ResNet18 (Baseline),125,0.1215,95.86%,0.3179,90.27%,
ResNet18 (Baseline),126,0.1138,96.10%,0.2872,91.15%,
ResNet18 (Baseline),127,0.1129,96.15%,0.2651,91.71%,
ResNet18 (Baseline),128,0.1074,96.35%,0.3409,90.12%,
ResNet18 (Baseline),129,0.1069,96.45%,0.2844,91.38%,
