Model Name,Epoch,Train Loss,Train Accuracy,Test Loss,Test Accuracy,Parameters
MLP (Baseline),1,0.7375,74.72%,0.5059,81.08%,Epochs=20
MLP (Baseline),2,0.4232,84.80%,0.4298,84.56%,Epochs=20
MLP (Baseline),3,0.3776,86.48%,0.4026,85.83%,Epochs=20
MLP (Baseline),4,0.3496,87.44%,0.3845,86.13%,Epochs=20
MLP (Baseline),5,0.3249,88.22%,0.3879,86.44%,Epochs=20
MLP (Baseline),6,0.3068,88.82%,0.3599,86.91%,Epochs=20
MLP (Baseline),7,0.2918,89.27%,0.3566,87.26%,Epochs=20
MLP (Baseline),8,0.2799,89.73%,0.3563,87.23%,Epochs=20
MLP (Baseline),9,0.2657,90.26%,0.3333,87.98%,Epochs=20
MLP (Baseline),10,0.2558,90.59%,0.3329,88.14%,Epochs=20
MLP (Baseline),11,0.2462,91.03%,0.3229,88.93%,Epochs=20
MLP (Baseline),12,0.2345,91.38%,0.3228,88.58%,Epochs=20
MLP (Baseline),13,0.2310,91.50%,0.3212,88.50%,Epochs=20
MLP (Baseline),14,0.2225,91.78%,0.3296,88.21%,Epochs=20
MLP (Baseline),15,0.2155,92.11%,0.3315,88.46%,Epochs=20
MLP (Baseline),16,0.2074,92.48%,0.3207,88.67%,Epochs=20
MLP (Baseline),17,0.2018,92.61%,0.3371,88.31%,Epochs=20
MLP (Baseline),18,0.1913,93.09%,0.3284,88.40%,Epochs=20
MLP (Baseline),19,0.1829,93.31%,0.3394,88.45%,Epochs=20
MLP (Baseline),20,0.1807,93.46%,0.3296,89.10%,Epochs=20
"MLPADC (bx=8, bw=8, ba=8, k=4)",1,0.7537,74.81%,0.5018,82.00%,"bx=8, bw=8, ba=8, k=4"
"MLPADC (bx=8, bw=8, ba=8, k=4)",2,0.4349,84.25%,0.4454,83.57%,"bx=8, bw=8, ba=8, k=4"
"MLPADC (bx=8, bw=8, ba=8, k=4)",3,0.3949,85.61%,0.4219,84.50%,"bx=8, bw=8, ba=8, k=4"
"MLPADC (bx=8, bw=8, ba=8, k=4)",4,0.3668,86.48%,0.3967,85.77%,"bx=8, bw=8, ba=8, k=4"
"MLPADC (bx=8, bw=8, ba=8, k=4)",5,0.3482,86.98%,0.3914,85.62%,"bx=8, bw=8, ba=8, k=4"
"MLPADC (bx=8, bw=8, ba=8, k=4)",6,0.3353,87.36%,0.3975,85.61%,"bx=8, bw=8, ba=8, k=4"
"MLPADC (bx=8, bw=8, ba=8, k=4)",7,0.3312,87.28%,0.4067,85.11%,"bx=8, bw=8, ba=8, k=4"
"MLPADC (bx=8, bw=8, ba=8, k=4)",8,0.3301,87.21%,0.4053,84.62%,"bx=8, bw=8, ba=8, k=4"
"MLPADC (bx=8, bw=8, ba=8, k=4)",9,0.3396,86.78%,0.4049,84.80%,"bx=8, bw=8, ba=8, k=4"
"MLPADC (bx=8, bw=8, ba=8, k=4)",10,0.3366,86.84%,0.4043,85.21%,"bx=8, bw=8, ba=8, k=4"
"MLPADC (bx=8, bw=8, ba=8, k=4)",11,0.3428,86.27%,0.4262,83.82%,"bx=8, bw=8, ba=8, k=4"
"MLPADC (bx=8, bw=8, ba=8, k=4)",12,0.3495,85.98%,0.4289,84.82%,"bx=8, bw=8, ba=8, k=4"
"MLPADC (bx=8, bw=8, ba=8, k=4)",13,0.3605,85.80%,0.4639,84.06%,"bx=8, bw=8, ba=8, k=4"
"MLPADC (bx=8, bw=8, ba=8, k=4)",14,0.3793,85.31%,0.4788,83.35%,"bx=8, bw=8, ba=8, k=4"
"MLPADC (bx=8, bw=8, ba=8, k=4)",15,0.3896,85.25%,0.5030,83.28%,"bx=8, bw=8, ba=8, k=4"
"MLPADC (bx=8, bw=8, ba=8, k=4)",16,0.3906,85.05%,0.5112,83.57%,"bx=8, bw=8, ba=8, k=4"
"MLPADC (bx=8, bw=8, ba=8, k=4)",17,0.3819,85.40%,0.5246,84.83%,"bx=8, bw=8, ba=8, k=4"
"MLPADC (bx=8, bw=8, ba=8, k=4)",18,0.3922,85.45%,0.5290,83.42%,"bx=8, bw=8, ba=8, k=4"
"MLPADC (bx=8, bw=8, ba=8, k=4)",19,0.3984,85.53%,0.5950,80.85%,"bx=8, bw=8, ba=8, k=4"
"MLPADC (bx=8, bw=8, ba=8, k=4)",20,0.4089,85.36%,0.5729,83.90%,"bx=8, bw=8, ba=8, k=4"
"MLPQuant (bx=8, bw=8)",1,0.7228,75.79%,0.4799,82.90%,"bx=8, bw=8"
"MLPQuant (bx=8, bw=8)",2,0.4247,84.83%,0.4535,83.57%,"bx=8, bw=8"
"MLPQuant (bx=8, bw=8)",3,0.3808,86.20%,0.4002,85.72%,"bx=8, bw=8"
"MLPQuant (bx=8, bw=8)",4,0.3510,87.32%,0.3869,85.85%,"bx=8, bw=8"
"MLPQuant (bx=8, bw=8)",5,0.3297,88.02%,0.3781,86.27%,"bx=8, bw=8"
"MLPQuant (bx=8, bw=8)",6,0.3106,88.78%,0.3605,87.13%,"bx=8, bw=8"
"MLPQuant (bx=8, bw=8)",7,0.2916,89.28%,0.3396,87.86%,"bx=8, bw=8"
"MLPQuant (bx=8, bw=8)",8,0.2765,89.97%,0.3452,87.64%,"bx=8, bw=8"
"MLPQuant (bx=8, bw=8)",9,0.2673,90.09%,0.3293,88.17%,"bx=8, bw=8"
"MLPQuant (bx=8, bw=8)",10,0.2647,90.17%,0.3369,88.03%,"bx=8, bw=8"
"MLPQuant (bx=8, bw=8)",11,0.2478,90.87%,0.3322,88.17%,"bx=8, bw=8"
"MLPQuant (bx=8, bw=8)",12,0.2363,91.35%,0.3322,88.26%,"bx=8, bw=8"
"MLPQuant (bx=8, bw=8)",13,0.2311,91.57%,0.3244,88.83%,"bx=8, bw=8"
"MLPQuant (bx=8, bw=8)",14,0.2217,91.87%,0.3273,88.46%,"bx=8, bw=8"
"MLPQuant (bx=8, bw=8)",15,0.2097,92.21%,0.3213,88.70%,"bx=8, bw=8"
"MLPQuant (bx=8, bw=8)",16,0.2081,92.33%,0.3307,88.39%,"bx=8, bw=8"
"MLPQuant (bx=8, bw=8)",17,0.1974,92.82%,0.3232,89.09%,"bx=8, bw=8"
"MLPQuant (bx=8, bw=8)",18,0.1930,92.96%,0.3341,88.40%,"bx=8, bw=8"
"MLPQuant (bx=8, bw=8)",19,0.1857,93.15%,0.3172,89.07%,"bx=8, bw=8"
"MLPQuant (bx=8, bw=8)",20,0.1802,93.34%,0.3296,88.74%,"bx=8, bw=8"
"MLPADC+W-Reshape (bx=8,bw=8,ba=8,k=4,lk=0.0005)",1,0.7625,74.85%,0.4999,82.13%,"bx=8,bw=8,ba=8,k=4,lk=0.0005"
"MLPADC+W-Reshape (bx=8,bw=8,ba=8,k=4,lk=0.0005)",2,0.4419,84.14%,0.4422,84.40%,"bx=8,bw=8,ba=8,k=4,lk=0.0005"
"MLPADC+W-Reshape (bx=8,bw=8,ba=8,k=4,lk=0.0005)",3,0.3963,85.61%,0.4106,85.42%,"bx=8,bw=8,ba=8,k=4,lk=0.0005"
"MLPADC+W-Reshape (bx=8,bw=8,ba=8,k=4,lk=0.0005)",4,0.3712,86.49%,0.3980,85.88%,"bx=8,bw=8,ba=8,k=4,lk=0.0005"
"MLPADC+W-Reshape (bx=8,bw=8,ba=8,k=4,lk=0.0005)",5,0.3513,87.19%,0.3945,86.08%,"bx=8,bw=8,ba=8,k=4,lk=0.0005"
"MLPADC+W-Reshape (bx=8,bw=8,ba=8,k=4,lk=0.0005)",6,0.3382,87.56%,0.3878,86.61%,"bx=8,bw=8,ba=8,k=4,lk=0.0005"
"MLPADC+W-Reshape (bx=8,bw=8,ba=8,k=4,lk=0.0005)",7,0.3294,87.92%,0.3798,86.00%,"bx=8,bw=8,ba=8,k=4,lk=0.0005"
"MLPADC+W-Reshape (bx=8,bw=8,ba=8,k=4,lk=0.0005)",8,0.3168,88.27%,0.3823,86.21%,"bx=8,bw=8,ba=8,k=4,lk=0.0005"
"MLPADC+W-Reshape (bx=8,bw=8,ba=8,k=4,lk=0.0005)",9,0.3099,88.45%,0.3843,86.42%,"bx=8,bw=8,ba=8,k=4,lk=0.0005"
"MLPADC+W-Reshape (bx=8,bw=8,ba=8,k=4,lk=0.0005)",10,0.3078,88.50%,0.3693,86.90%,"bx=8,bw=8,ba=8,k=4,lk=0.0005"
"MLPADC+W-Reshape (bx=8,bw=8,ba=8,k=4,lk=0.0005)",11,0.2942,89.11%,0.3692,87.08%,"bx=8,bw=8,ba=8,k=4,lk=0.0005"
"MLPADC+W-Reshape (bx=8,bw=8,ba=8,k=4,lk=0.0005)",12,0.2970,88.94%,0.3686,86.74%,"bx=8,bw=8,ba=8,k=4,lk=0.0005"
"MLPADC+W-Reshape (bx=8,bw=8,ba=8,k=4,lk=0.0005)",13,0.2877,89.31%,0.3781,86.34%,"bx=8,bw=8,ba=8,k=4,lk=0.0005"
"MLPADC+W-Reshape (bx=8,bw=8,ba=8,k=4,lk=0.0005)",14,0.2773,89.53%,0.3670,87.07%,"bx=8,bw=8,ba=8,k=4,lk=0.0005"
"MLPADC+W-Reshape (bx=8,bw=8,ba=8,k=4,lk=0.0005)",15,0.2776,89.60%,0.3696,87.25%,"bx=8,bw=8,ba=8,k=4,lk=0.0005"
"MLPADC+W-Reshape (bx=8,bw=8,ba=8,k=4,lk=0.0005)",16,0.2711,89.77%,0.3733,87.52%,"bx=8,bw=8,ba=8,k=4,lk=0.0005"
"MLPADC+W-Reshape (bx=8,bw=8,ba=8,k=4,lk=0.0005)",17,0.2678,89.80%,0.3707,87.36%,"bx=8,bw=8,ba=8,k=4,lk=0.0005"
"MLPADC+W-Reshape (bx=8,bw=8,ba=8,k=4,lk=0.0005)",18,0.2636,90.04%,0.3721,86.79%,"bx=8,bw=8,ba=8,k=4,lk=0.0005"
"MLPADC+W-Reshape (bx=8,bw=8,ba=8,k=4,lk=0.0005)",19,0.2621,90.03%,0.3782,87.19%,"bx=8,bw=8,ba=8,k=4,lk=0.0005"
"MLPADC+W-Reshape (bx=8,bw=8,ba=8,k=4,lk=0.0005)",20,0.2588,90.01%,0.3743,86.04%,"bx=8,bw=8,ba=8,k=4,lk=0.0005"
