Model Name,Epoch,Train Loss,Train Accuracy,Test Loss,Test Accuracy,Parameters
"MLPADCAshift (ashift=True, bx=8, bw=8, ba=8, k=4)",1,0.7555,74.24%,0.5105,81.48%,"ashift=True, bx=8, bw=8, ba=8, k=4"
"MLPADCAshift (ashift=True, bx=8, bw=8, ba=8, k=4)",2,0.4388,84.04%,0.4423,83.91%,"ashift=True, bx=8, bw=8, ba=8, k=4"
"MLPADCAshift (ashift=True, bx=8, bw=8, ba=8, k=4)",3,0.3880,85.94%,0.4132,85.47%,"ashift=True, bx=8, bw=8, ba=8, k=4"
"MLPADCAshift (ashift=True, bx=8, bw=8, ba=8, k=4)",4,0.3615,86.81%,0.4076,85.36%,"ashift=True, bx=8, bw=8, ba=8, k=4"
"MLPADCAshift (ashift=True, bx=8, bw=8, ba=8, k=4)",5,0.3412,87.55%,0.3790,86.51%,"ashift=True, bx=8, bw=8, ba=8, k=4"
"MLPADCAshift (ashift=True, bx=8, bw=8, ba=8, k=4)",6,0.3285,87.90%,0.3952,85.80%,"ashift=True, bx=8, bw=8, ba=8, k=4"
"MLPADCAshift (ashift=True, bx=8, bw=8, ba=8, k=4)",7,0.3156,88.42%,0.3819,86.59%,"ashift=True, bx=8, bw=8, ba=8, k=4"
"MLPADCAshift (ashift=True, bx=8, bw=8, ba=8, k=4)",8,0.3084,88.48%,0.3835,86.26%,"ashift=True, bx=8, bw=8, ba=8, k=4"
"MLPADCAshift (ashift=True, bx=8, bw=8, ba=8, k=4)",9,0.3038,88.75%,0.3729,86.91%,"ashift=True, bx=8, bw=8, ba=8, k=4"
"MLPADCAshift (ashift=True, bx=8, bw=8, ba=8, k=4)",10,0.3011,88.95%,0.3696,86.84%,"ashift=True, bx=8, bw=8, ba=8, k=4"
"MLPADCAshift (ashift=True, bx=8, bw=8, ba=8, k=4)",11,0.2973,89.08%,0.3750,86.24%,"ashift=True, bx=8, bw=8, ba=8, k=4"
"MLPADCAshift (ashift=True, bx=8, bw=8, ba=8, k=4)",12,0.2870,89.31%,0.3644,87.19%,"ashift=True, bx=8, bw=8, ba=8, k=4"
"MLPADCAshift (ashift=True, bx=8, bw=8, ba=8, k=4)",13,0.2832,89.48%,0.3689,86.89%,"ashift=True, bx=8, bw=8, ba=8, k=4"
"MLPADCAshift (ashift=True, bx=8, bw=8, ba=8, k=4)",14,0.2812,89.69%,0.3746,87.29%,"ashift=True, bx=8, bw=8, ba=8, k=4"
"MLPADCAshift (ashift=True, bx=8, bw=8, ba=8, k=4)",15,0.2776,89.83%,0.3739,87.03%,"ashift=True, bx=8, bw=8, ba=8, k=4"
"MLPADCAshift (ashift=True, bx=8, bw=8, ba=8, k=4)",16,0.2818,89.45%,0.3996,86.59%,"ashift=True, bx=8, bw=8, ba=8, k=4"
"MLPADCAshift (ashift=True, bx=8, bw=8, ba=8, k=4)",17,0.2768,89.85%,0.3830,86.38%,"ashift=True, bx=8, bw=8, ba=8, k=4"
"MLPADCAshift (ashift=True, bx=8, bw=8, ba=8, k=4)",18,0.2708,89.99%,0.3952,86.53%,"ashift=True, bx=8, bw=8, ba=8, k=4"
"MLPADCAshift (ashift=True, bx=8, bw=8, ba=8, k=4)",19,0.2809,89.53%,0.3981,86.77%,"ashift=True, bx=8, bw=8, ba=8, k=4"
"MLPADCAshift (ashift=True, bx=8, bw=8, ba=8, k=4)",20,0.2656,90.16%,0.3827,86.61%,"ashift=True, bx=8, bw=8, ba=8, k=4"
"MLPADCAshift+W-Reshape (ashift=True, bx=8,bw=8,ba=8,k=4,lk=0.0005)",1,0.7522,74.47%,0.5006,81.74%,"ashift=True, bx=8,bw=8,ba=8,k=4,lk=0.0005"
"MLPADCAshift+W-Reshape (ashift=True, bx=8,bw=8,ba=8,k=4,lk=0.0005)",2,0.4473,83.90%,0.4600,83.17%,"ashift=True, bx=8,bw=8,ba=8,k=4,lk=0.0005"
"MLPADCAshift+W-Reshape (ashift=True, bx=8,bw=8,ba=8,k=4,lk=0.0005)",3,0.4050,85.49%,0.4197,85.12%,"ashift=True, bx=8,bw=8,ba=8,k=4,lk=0.0005"
"MLPADCAshift+W-Reshape (ashift=True, bx=8,bw=8,ba=8,k=4,lk=0.0005)",4,0.3705,86.63%,0.4033,85.05%,"ashift=True, bx=8,bw=8,ba=8,k=4,lk=0.0005"
"MLPADCAshift+W-Reshape (ashift=True, bx=8,bw=8,ba=8,k=4,lk=0.0005)",5,0.3529,87.33%,0.4145,85.04%,"ashift=True, bx=8,bw=8,ba=8,k=4,lk=0.0005"
"MLPADCAshift+W-Reshape (ashift=True, bx=8,bw=8,ba=8,k=4,lk=0.0005)",6,0.3399,87.72%,0.3909,86.23%,"ashift=True, bx=8,bw=8,ba=8,k=4,lk=0.0005"
"MLPADCAshift+W-Reshape (ashift=True, bx=8,bw=8,ba=8,k=4,lk=0.0005)",7,0.3241,88.39%,0.3742,86.60%,"ashift=True, bx=8,bw=8,ba=8,k=4,lk=0.0005"
"MLPADCAshift+W-Reshape (ashift=True, bx=8,bw=8,ba=8,k=4,lk=0.0005)",8,0.3169,88.56%,0.3846,86.07%,"ashift=True, bx=8,bw=8,ba=8,k=4,lk=0.0005"
"MLPADCAshift+W-Reshape (ashift=True, bx=8,bw=8,ba=8,k=4,lk=0.0005)",9,0.3099,88.80%,0.3676,86.99%,"ashift=True, bx=8,bw=8,ba=8,k=4,lk=0.0005"
"MLPADCAshift+W-Reshape (ashift=True, bx=8,bw=8,ba=8,k=4,lk=0.0005)",10,0.3046,88.94%,0.3790,86.04%,"ashift=True, bx=8,bw=8,ba=8,k=4,lk=0.0005"
"MLPADCAshift+W-Reshape (ashift=True, bx=8,bw=8,ba=8,k=4,lk=0.0005)",11,0.2976,89.02%,0.3767,86.57%,"ashift=True, bx=8,bw=8,ba=8,k=4,lk=0.0005"
"MLPADCAshift+W-Reshape (ashift=True, bx=8,bw=8,ba=8,k=4,lk=0.0005)",12,0.2963,89.13%,0.3760,86.59%,"ashift=True, bx=8,bw=8,ba=8,k=4,lk=0.0005"
"MLPADCAshift+W-Reshape (ashift=True, bx=8,bw=8,ba=8,k=4,lk=0.0005)",13,0.2903,89.47%,0.3606,87.24%,"ashift=True, bx=8,bw=8,ba=8,k=4,lk=0.0005"
"MLPADCAshift+W-Reshape (ashift=True, bx=8,bw=8,ba=8,k=4,lk=0.0005)",14,0.2856,89.64%,0.3701,87.16%,"ashift=True, bx=8,bw=8,ba=8,k=4,lk=0.0005"
"MLPADCAshift+W-Reshape (ashift=True, bx=8,bw=8,ba=8,k=4,lk=0.0005)",15,0.2859,89.46%,0.3777,86.50%,"ashift=True, bx=8,bw=8,ba=8,k=4,lk=0.0005"
"MLPADCAshift+W-Reshape (ashift=True, bx=8,bw=8,ba=8,k=4,lk=0.0005)",16,0.2824,89.69%,0.3823,86.61%,"ashift=True, bx=8,bw=8,ba=8,k=4,lk=0.0005"
"MLPADCAshift+W-Reshape (ashift=True, bx=8,bw=8,ba=8,k=4,lk=0.0005)",17,0.2759,89.96%,0.3742,87.04%,"ashift=True, bx=8,bw=8,ba=8,k=4,lk=0.0005"
"MLPADCAshift+W-Reshape (ashift=True, bx=8,bw=8,ba=8,k=4,lk=0.0005)",18,0.2747,89.95%,0.3614,87.20%,"ashift=True, bx=8,bw=8,ba=8,k=4,lk=0.0005"
"MLPADCAshift+W-Reshape (ashift=True, bx=8,bw=8,ba=8,k=4,lk=0.0005)",19,0.2744,90.05%,0.3785,87.12%,"ashift=True, bx=8,bw=8,ba=8,k=4,lk=0.0005"
"MLPADCAshift+W-Reshape (ashift=True, bx=8,bw=8,ba=8,k=4,lk=0.0005)",20,0.2718,89.91%,0.3868,86.69%,"ashift=True, bx=8,bw=8,ba=8,k=4,lk=0.0005"
