Model,Parameters,Train Accuracy,Test Accuracy,Train Loss,Test Loss
MLPADC,"bx=8, bw=8, ba=8, k=4, Epochs=20",67.56%,67.84%,222.0167,259.9578
MLPQuant,"bx=8, bw=8, Epochs=20",93.30%,0.3493,88.33%,0.1825
