Model Name,Epoch,Train Loss,Train Accuracy,Test Loss,Test Accuracy,Parameters
"MLPQuant (bx=8, bw=8)",12,0.2322,91.44%,0.3409,87.92%,"bx=8, bw=8"
"MLPQuant (bx=8, bw=8)",13,0.2266,91.66%,0.3350,88.02%,"bx=8, bw=8"
"MLPQuant (bx=8, bw=8)",14,0.2194,91.88%,0.3282,88.69%,"bx=8, bw=8"
"MLPQuant (bx=8, bw=8)",15,0.2093,92.28%,0.3261,88.76%,"bx=8, bw=8"
"MLPQuant (bx=8, bw=8)",16,0.2036,92.56%,0.3277,88.87%,"bx=8, bw=8"
"MLPQuant (bx=8, bw=8)",17,0.1939,92.92%,0.3248,88.78%,"bx=8, bw=8"
"MLPQuant (bx=8, bw=8)",18,0.1884,93.12%,0.3292,88.89%,"bx=8, bw=8"
"MLPQuant (bx=8, bw=8)",19,0.1829,93.20%,0.3228,89.31%,"bx=8, bw=8"
"MLPQuant (bx=8, bw=8)",20,0.1725,93.75%,0.3363,88.90%,"bx=8, bw=8"
"MLPADC+W-Reshape (bx=8,bw=8,ba=8,k=4,lk=0.0005)",1,0.9760,65.90%,0.6532,74.80%,"bx=8,bw=8,ba=8,k=4,lk=0.0005"
"MLPADC+W-Reshape (bx=8,bw=8,ba=8,k=4,lk=0.0005)",2,0.6616,75.39%,0.7168,73.32%,"bx=8,bw=8,ba=8,k=4,lk=0.0005"
"MLPADC+W-Reshape (bx=8,bw=8,ba=8,k=4,lk=0.0005)",3,0.8831,67.54%,1.1413,60.90%,"bx=8,bw=8,ba=8,k=4,lk=0.0005"
"MLPADC+W-Reshape (bx=8,bw=8,ba=8,k=4,lk=0.0005)",4,1.3396,60.68%,1.6317,58.82%,"bx=8,bw=8,ba=8,k=4,lk=0.0005"
"MLPADC+W-Reshape (bx=8,bw=8,ba=8,k=4,lk=0.0005)",5,1.9399,62.54%,2.6987,57.56%,"bx=8,bw=8,ba=8,k=4,lk=0.0005"
"MLPADC+W-Reshape (bx=8,bw=8,ba=8,k=4,lk=0.0005)",6,3.4044,61.47%,4.4915,61.07%,"bx=8,bw=8,ba=8,k=4,lk=0.0005"
"MLPADC+W-Reshape (bx=8,bw=8,ba=8,k=4,lk=0.0005)",7,5.3263,60.57%,7.1877,61.48%,"bx=8,bw=8,ba=8,k=4,lk=0.0005"
"MLPADC+W-Reshape (bx=8,bw=8,ba=8,k=4,lk=0.0005)",8,10.0233,60.89%,16.0765,60.95%,"bx=8,bw=8,ba=8,k=4,lk=0.0005"
"MLPADC+W-Reshape (bx=8,bw=8,ba=8,k=4,lk=0.0005)",9,20.0442,62.37%,30.1579,63.59%,"bx=8,bw=8,ba=8,k=4,lk=0.0005"
"MLPADC+W-Reshape (bx=8,bw=8,ba=8,k=4,lk=0.0005)",10,36.7231,63.70%,57.7063,65.99%,"bx=8,bw=8,ba=8,k=4,lk=0.0005"
"MLPADC+W-Reshape (bx=8,bw=8,ba=8,k=4,lk=0.0005)",11,56.3442,65.58%,73.1349,67.16%,"bx=8,bw=8,ba=8,k=4,lk=0.0005"
"MLPADC+W-Reshape (bx=8,bw=8,ba=8,k=4,lk=0.0005)",12,76.4622,67.11%,92.9324,65.44%,"bx=8,bw=8,ba=8,k=4,lk=0.0005"
