Model Name,Epoch,Train Loss,Train Accuracy,Test Loss,Test Accuracy,Parameters
"MLPQuant (bx=4, bw=4)",12,0.2688,89.90%,0.3540,87.38%,"bx=4, bw=4"
"MLPQuant (bx=4, bw=4)",13,0.2624,90.27%,0.3492,87.43%,"bx=4, bw=4"
"MLPQuant (bx=4, bw=4)",14,0.2591,90.31%,0.3446,87.35%,"bx=4, bw=4"
"MLPQuant (bx=4, bw=4)",15,0.2479,90.75%,0.3558,87.33%,"bx=4, bw=4"
"MLPQuant (bx=4, bw=4)",16,0.2437,90.81%,0.3474,87.64%,"bx=4, bw=4"
"MLPQuant (bx=4, bw=4)",17,0.2396,91.03%,0.3450,87.99%,"bx=4, bw=4"
"MLPQuant (bx=4, bw=4)",18,0.2347,91.14%,0.3598,87.41%,"bx=4, bw=4"
"MLPQuant (bx=4, bw=4)",19,0.2300,91.39%,0.3384,88.35%,"bx=4, bw=4"
"MLPQuant (bx=4, bw=4)",20,0.2279,91.45%,0.3463,87.95%,"bx=4, bw=4"
"MLPADC+W-Reshape (bx=4,bw=4,ba=8,k=4,lk=0.001)",1,0.7869,73.66%,0.5311,80.26%,"bx=4,bw=4,ba=8,k=4,lk=0.001"
"MLPADC+W-Reshape (bx=4,bw=4,ba=8,k=4,lk=0.001)",2,0.4586,83.53%,0.4614,83.09%,"bx=4,bw=4,ba=8,k=4,lk=0.001"
"MLPADC+W-Reshape (bx=4,bw=4,ba=8,k=4,lk=0.001)",3,0.4058,85.47%,0.4210,84.94%,"bx=4,bw=4,ba=8,k=4,lk=0.001"
"MLPADC+W-Reshape (bx=4,bw=4,ba=8,k=4,lk=0.001)",4,0.3774,86.28%,0.4028,85.35%,"bx=4,bw=4,ba=8,k=4,lk=0.001"
"MLPADC+W-Reshape (bx=4,bw=4,ba=8,k=4,lk=0.001)",5,0.3543,87.17%,0.3997,85.79%,"bx=4,bw=4,ba=8,k=4,lk=0.001"
"MLPADC+W-Reshape (bx=4,bw=4,ba=8,k=4,lk=0.001)",6,0.3476,87.47%,0.3849,85.81%,"bx=4,bw=4,ba=8,k=4,lk=0.001"
"MLPADC+W-Reshape (bx=4,bw=4,ba=8,k=4,lk=0.001)",7,0.3337,87.93%,0.3796,86.48%,"bx=4,bw=4,ba=8,k=4,lk=0.001"
"MLPADC+W-Reshape (bx=4,bw=4,ba=8,k=4,lk=0.001)",8,0.3205,88.35%,0.3767,86.41%,"bx=4,bw=4,ba=8,k=4,lk=0.001"
"MLPADC+W-Reshape (bx=4,bw=4,ba=8,k=4,lk=0.001)",9,0.3193,88.32%,0.3733,86.27%,"bx=4,bw=4,ba=8,k=4,lk=0.001"
"MLPADC+W-Reshape (bx=4,bw=4,ba=8,k=4,lk=0.001)",10,0.3206,88.25%,0.3839,86.28%,"bx=4,bw=4,ba=8,k=4,lk=0.001"
"MLPADC+W-Reshape (bx=4,bw=4,ba=8,k=4,lk=0.001)",11,0.3111,88.59%,0.3859,86.33%,"bx=4,bw=4,ba=8,k=4,lk=0.001"
"MLPADC+W-Reshape (bx=4,bw=4,ba=8,k=4,lk=0.001)",12,0.3091,88.66%,0.3886,86.32%,"bx=4,bw=4,ba=8,k=4,lk=0.001"
"MLPADC+W-Reshape (bx=4,bw=4,ba=8,k=4,lk=0.001)",13,0.3056,88.61%,0.3832,86.68%,"bx=4,bw=4,ba=8,k=4,lk=0.001"
"MLPADC+W-Reshape (bx=4,bw=4,ba=8,k=4,lk=0.001)",14,0.3089,88.58%,0.3783,86.50%,"bx=4,bw=4,ba=8,k=4,lk=0.001"
"MLPADC+W-Reshape (bx=4,bw=4,ba=8,k=4,lk=0.001)",15,0.3005,88.92%,0.3788,86.31%,"bx=4,bw=4,ba=8,k=4,lk=0.001"
"MLPADC+W-Reshape (bx=4,bw=4,ba=8,k=4,lk=0.001)",16,0.2972,88.84%,0.3886,85.98%,"bx=4,bw=4,ba=8,k=4,lk=0.001"
"MLPADC+W-Reshape (bx=4,bw=4,ba=8,k=4,lk=0.001)",17,0.2925,88.99%,0.3825,86.81%,"bx=4,bw=4,ba=8,k=4,lk=0.001"
"MLPADC+W-Reshape (bx=4,bw=4,ba=8,k=4,lk=0.001)",18,0.2899,89.16%,0.3785,86.02%,"bx=4,bw=4,ba=8,k=4,lk=0.001"
"MLPADC+W-Reshape (bx=4,bw=4,ba=8,k=4,lk=0.001)",19,0.2879,89.09%,0.3868,86.02%,"bx=4,bw=4,ba=8,k=4,lk=0.001"
"MLPADC+W-Reshape (bx=4,bw=4,ba=8,k=4,lk=0.001)",20,0.2900,89.03%,0.3888,86.59%,"bx=4,bw=4,ba=8,k=4,lk=0.001"
"MLPADCAshift (ashift=True, bx=4, bw=4, ba=8, k=4)",1,0.7779,73.13%,0.5231,80.77%,"ashift=True, bx=4, bw=4, ba=8, k=4"
"MLPADCAshift (ashift=True, bx=4, bw=4, ba=8, k=4)",2,0.4542,83.69%,0.4590,82.95%,"ashift=True, bx=4, bw=4, ba=8, k=4"
"MLPADCAshift (ashift=True, bx=4, bw=4, ba=8, k=4)",3,0.4095,85.22%,0.4264,84.76%,"ashift=True, bx=4, bw=4, ba=8, k=4"
"MLPADCAshift (ashift=True, bx=4, bw=4, ba=8, k=4)",4,0.3804,86.10%,0.4410,83.61%,"ashift=True, bx=4, bw=4, ba=8, k=4"
"MLPADCAshift (ashift=True, bx=4, bw=4, ba=8, k=4)",5,0.3610,86.92%,0.4066,85.75%,"ashift=True, bx=4, bw=4, ba=8, k=4"
"MLPADCAshift (ashift=True, bx=4, bw=4, ba=8, k=4)",6,0.3477,87.32%,0.4029,85.57%,"ashift=True, bx=4, bw=4, ba=8, k=4"
"MLPADCAshift (ashift=True, bx=4, bw=4, ba=8, k=4)",7,0.3457,87.26%,0.4036,84.90%,"ashift=True, bx=4, bw=4, ba=8, k=4"
"MLPADCAshift (ashift=True, bx=4, bw=4, ba=8, k=4)",8,0.3408,87.63%,0.3993,85.87%,"ashift=True, bx=4, bw=4, ba=8, k=4"
